Study.number,Study.code,Study.reference,Experiment.number,Study.short.name,Retrieved.from,Document.Type,On.money.priming.,Empirical.,Random.Assignment,Neutral.Comparison.,Eligible.,Why.not.,Able.to.compute.effect.size.,Included.,Notes,dep,prime,prime..extra.notes..,year.,jrnl,published,replication,Preregistered,Prime.Type..coder.1.,Prime.Type..coder.2.,Prime.Type..coder.agreement.,Prime.Type..final.code.,Setting..coder.1.,Setting..coder.2.,Setting..code.agreement.,Setting..final.code.,Behavioral.vs.non.behavioral..coder.1.,Behavioral.vs.non.behavioral..coder.2.,Behavioral.vs.non.behavioral..code.agreement.,Behavioral.vs..Non.behavioral,Problems.,Multiple.DV.,Interaction.,Notes..1,X2nd.factor,Simple.main.effect,Interaction.Identification..1.Largest.predicted.effect.,Notes.1,Contact.Author.,Information.to.seek,Aggregated.across.DVs.,d,var.of.d,g,var.of.g,Notes.,Notes.....1st.DV,Effect.size..D...Reported.,significance,n1,n2,N,m1.,m2,sd1,sd2,Direction.of.Effect,d.from.M.SD.n,Variance.of..d,g.from.M.SD.n,Variance.of.g,log.odds.ratio,percent1,percent2,Odds.ratio,A,B,C,D,variance.of.log.odds.ratio,Type.of.test.statistics,Value.of.test.statistics,converted.d,variance.of.d,converted.g,variance.of.g,Notes..2nd.effect.size,Effect.size..D...Reported..,Significance,n1.,n2.,N.,m1..1,m2.,sd1.,sd2.,Direction.of.Effect.1,d.from.M.SD.n.1,Variance.of..d.1,g.from.M.SD.n.1,Variance.of.g.1,log.odds.ratio.1,variance.of.log.odds.ratio.1,Type.of.test.statistics.1,Value.of.test.statistics.1,converted.d.1,variance.of.d.1,converted.g.1,variance.of.g.1,Notes..3rd.effect.size,Effect.size..D...Reported...1,Significance.1,n1..1,n2..1,N..1,m1..2,m2..1,sd1..1,sd2..1,Direction.of.Effect.2,d.from.M.SD.n.2,Variance.of..d.2,g.from.M.SD.n.2,Variance.of.g.2,Notes.2,Effect.size..D...Reported...2,Significance.2,n1..2,n2..2,N..2,m1..3,m2..2,sd1..2,sd2..2,Direction.of.Effect.3,d.from.M.SD.n.3,Variance.of..d.3,g.from.M.SD.n.3,Variance.of.g.3,keepformulas
92,92a,"Kouchaki, M., Smith-Crowe, K., Brief, A. P., & Sousa, C. (2013). Seeing green: Mere exposure to money triggers a business decision frame and unethical outcomes. Organizational Behavior and Human Decision Processes, 121(1), 53–61. doi:10.1016/j.obhdp.2012.12.002",1,"Kouchaki, M., Smith-Crowe, K., Brief, A. P., & Sousa, C. (2013), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,Intentions to engage in unethical behavior,Sentence descrambling,,2013,Organizational Behavior and Human Decision Process,1,0,0,2,2,1,2,1,1,1,1,2,2,1,2,0,0,0,,,,,,,,0,0.757216302770466,0.0857337652918137,0.745322852988731,0.0830617088477253,,,0.76,1,25,25,50,4.14,3.37,0.85,1.16,1,0.757216302770466,0.0857337652918137,0.745322852988731,0.0830617088477253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
92,92c,"Kouchaki, M., Smith-Crowe, K., Brief, A. P., & Sousa, C. (2013). Seeing green: Mere exposure to money triggers a business decision frame and unethical outcomes. Organizational Behavior and Human Decision Processes, 121(1), 53–61. doi:10.1016/j.obhdp.2012.12.002",3,"Kouchaki, M., Smith-Crowe, K., Brief, A. P., & Sousa, C. (2013), Study 3",PsycINFO,Journal,1,1,1,1,1,,1,1,,Deceive another participant in a game to potentially earn more money. ,Sentence descrambling,,2013,Organizational Behavior and Human Decision Process,1,0,0,2,2,3 vs. 3 or 4,2,1,1,1,1,1,1,1,1,0,0,0,Reported effect size in OR.,,,,,,,0,0.913277,0.066686,0.905559,0.065564,,,,1,45.5,45.5,91,46% (27.14/45.5),22% (10.01/45.5),,,1,,,,,1.656500643,,,,,,,,0.219389266,,,0.913277,0.066686,0.905559,0.065564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
92,92d,"Kouchaki, M., Smith-Crowe, K., Brief, A. P., & Sousa, C. (2013). Seeing green: Mere exposure to money triggers a business decision frame and unethical outcomes. Organizational Behavior and Human Decision Processes, 121(1), 53–61. doi:10.1016/j.obhdp.2012.12.002",4,"Kouchaki, M., Smith-Crowe, K., Brief, A. P., & Sousa, C. (2013), Study 4",PsycINFO,Journal,1,1,1,1,1,,1,1,,DV1: Intention to engage in unethical behavior in an business setting vignette. DV2: Unethical behavior (cheating when reporting task performance) ,Sentence descrambling,,2013,Organizational Behavior and Human Decision Process,1,0,0,2,2,1,2,1,1,1,1,2,2,1,2,0,1,0,4 DVs. Correlation in Table 1 of the paper. ,,,,,,,0,0.579587008874678,0.0641224700065869,0.572659674107251,0.0625988221660786,,Intention to behave unethically,0.58,1,32.5,32.5,65,5.13,3.71,2.46,2.44,1,0.579587008874678,0.0641224700065869,0.572659674107251,0.0625988221660786,,,,,,,,,,,,,,,,Extent of actual cheating,,,32.5,32.5,65,74.5,63.44,17.51,18.16,1,0.620026024602169,0.0644956328552613,0.61261535498541,0.0629631180954269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
126,126a,"Mukherjee, S., Manjaly, J. A., & Nargundkar, M. (2013). Money makes you reveal more: Consequences of monetary cues on preferential disclosure of personal information. Frontiers in Psychology, 4. doi:10.3389/fpsyg.2013.00839",1,"Mukherjee, S., Manjaly, J. A., & Nargundkar, M. (2013), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,Willingness to disclose personal information. ,Pictures,Picture of money in background.,2013,Frontiers in Psychology,1,0,0,1,1,1,1,1,1,1,1,2,2,1,2,0,0,0, Note: Means and SDs from supplementary materials. ,,,,,,,0,0.494198597788234,0.0496640497232281,0.489608517932615,0.0487457820132327,,,,1,41.5,41.5,83,47.76,42.59,10.29,10.63,1,0.494198597788234,0.0496640497232281,0.489608517932615,0.0487457820132327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
127,127a,"Mukherjee, S., Nargundkar, M., & Manjaly, J. A. (2014). Monetary primes increase differences in predicted life-satisfaction between new and old Indian Institutes of Technology (IITs). Psychological Studies, 59(2), 191–196. doi:10.1007/s12646-014-0259-5",1,"Mukherjee, S., Nargundkar, M., & Manjaly, J. A. (2014), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,DV1: Self-reported life satisfaction. DV2: Predicted life satisfaction of classmates. DV3: Difference in life satisfaction between new and old IIT. ,Pictures,,2014,Psychological Studies,1,0,0,1,1,1,1,3,3,1,3,2,2,1,2,0,1,0,,,,,,1,"Information to handle mutiple DVs (i.e., correlation)",1,0.497178603780299,0.0397177113650241,0.48621142869691,0.0379847857015523,, DV1: Self-reported life satisfaction.,,0,20,23,43,5.79,5.91,1.44,1.67,?,,,,,,,,,,,,,,,,,,,,DV2: Life satisfaction of classmates,,0,20,23,43,5.8,6.6,1.24,1.1,?,,,,,,,,,,,,,DV3: Difference between old and new IITs,,1,20,23,43,1.85,0.92,1.6,0.85,1,0.741271357976517,0.0998676007085925,0.727628326848115,0.0962253219217874,,,,,,,,,,,,,,,,FALSE
138,138,"Pfeffer, J., & DeVoe, S. E. (2009). Economic evaluation: The effect of money and economics on attitudes about volunteering. Journal of Economic Psychology, 30(3), 500–508. doi:10.1016/j.joep.2008.08.006",2,"Pfeffer, J., & DeVoe, S. E. (2009), Study 2",PsycINFO,Journal,1,1,1,1,1,"Study 1 does not prime money directly, but study 2 does. ",1,1,,Helpfulness,Sentence descrambling,,2009,Journal of Economic Psychology,1,1,0,2,2,1,2,1,1,1,1,2,2,1,2,0,0,0,,,,,,,,0,0.344112558459179,0.0258073441538017,0.342715619791551,0.025598237567751,,,,1,56,131,187,3.92,4.18,0.96,0.65,1,0.344112558459179,0.0258073441538017,0.342715619791551,0.025598237567751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
146,146a,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73–e85. doi:10.1037/xge0000058",1,"Rohrer, D., Pashler, H., & Harris, C. R. (2015), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,System Justification,Pictures,,2015,Journal of Experimental Psychology: General,1,1,0,1,1,1,1,1,1,1,1,2,2,1,2,0,0,0,,,,,,,,0,-0.0703559353011666,0.0294363251311642,-0.0699614160377956,0.0291071237100974,,,-0.07,0,69,67,136,3.76,3.83,0.97,1.02,-1,-0.0703559353011666,0.0294363251311642,-0.0699614160377956,0.0291071237100974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
146,146b,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73–e85. doi:10.1037/xge0000058",2,"Rohrer, D., Pashler, H., & Harris, C. R. (2015), Study 2",PsycINFO,Journal,1,1,1,1,1,,1,1,,Belief in a Just World,Sentence descrambling,,2015,Journal of Experimental Psychology: General,1,1,0,2,2,1,2,2,2,1,2,2,2,1,2,0,0,0,,,,,,,,0,0.0570911591275607,0.00952790572673789,0.0569886615348721,0.00949372492656171,,,0.06,0,211,209,420,2.59,2.56,0.5,0.55,1,0.0570911591275607,0.00952790572673789,0.0569886615348721,0.00949372492656171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
146,146c,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73–e85. doi:10.1037/xge0000058",3,"Rohrer, D., Pashler, H., & Harris, C. R. (2015), Study 3",PsycINFO,Journal,1,1,1,1,1,,1,1,,Social Dominance Orientation,Sentence descrambling,,2015,Journal of Experimental Psychology: General,1,1,0,2,2,1,2,1,1,1,1,2,2,1,2,0,0,0,,,,,,,,0,-0.0564962734874609,0.0256512558619166,-0.0562206819094733,0.0254016100880314,,,-0.06,0,78,78,156,2.1,2.15,0.89,0.88,-1,-0.0564962734874609,0.0256512558619166,-0.0562206819094733,0.0254016100880314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
146,146d,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73–e85. doi:10.1037/xge0000058",4a - US,"Rohrer, D., Pashler, H., & Harris, C. R. (2015), Study 4a - US",PsycINFO,Journal,1,1,1,1,1,,1,1,,Fair Market Ideology,Pictures,,2015,Journal of Experimental Psychology: General,1,1,0,1,1,1,1,2,2,1,2,2,2,1,2,0,0,0,,,,,,,,0,0.135196736208973,0.0352303003130736,0.134305329157045,0.0347672564915454,,,0.14,0,50,66,116,0.68,0.48,1.38,1.55,1,0.135196736208973,0.0352303003130736,0.134305329157045,0.0347672564915454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
146,146e,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73–e85. doi:10.1037/xge0000058",4b - Non US,"Rohrer, D., Pashler, H., & Harris, C. R. (2015), Study 4b - Non US",PsycINFO,Journal,1,1,1,1,1,,1,1,,Fair Market Ideology,Pictures,,2015,Journal of Experimental Psychology: General,1,1,0,1,1,1,1,2,2,1,2,2,2,1,2,0,0,0,,,,,,,,0,0.0558263476683874,0.0175628521636798,0.0556408780748047,0.0174463493198881,,,0.06,0,117,111,228,0.84,0.79,0.83,0.96,1,0.0558263476683874,0.0175628521636798,0.0556408780748047,0.0174463493198881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
164,164,"Shi, Y., Xianglong, Z., Wang, C., Cheng, H., & Xiangping, L. (2013). Money-primed reactance does not help ensure autonomy. Social Behavior and Personality, 41(8), 1233–1244. doi:10.2224/sbp.2013.41.8.1233",1,"Shi, Y., Xianglong, Z., Wang, C., Cheng, H., & Xiangping, L. (2013), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,DV1: Reactance rate in Asch task. DV2: Conformity rate in Asch task. ,Sentence descrambling AND Posters,,2013,Social Behavior and Personality,1,0,0,5,5,1,5,1,1,1,1,1,1,1,1,0,1,0,Multiple DVs. ,,,,,1,"1) Correlation between DVs. 2) M, SD, n. ",,0.520961904063567,0.107093145908154,0.49305323063159,0.0959262266760223,,Reactance Rate,0.97,1,,,23,,,,,1,,,,,,,,,,,,,,,,,,,,Conformity Rate,-0.12,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
171,171a,"Su, L., & Gao, L. (2014). Strategy compatibility: The time versus money effect on product evaluation strategies. Journal of Consumer Psychology, 24(4), 549–556. doi:10.1016/j.jcps.2014.04.006",2b-Resort,"Su, L., & Gao, L. (2014), Study 2b-Resort",PsycINFO,Journal,1,1,1,1,1,Study 1 and 2a does not have neutral comparison. Only study 2b has neutral control. ,1,1,,Choice of vacation location (indicative of holistic vs analytical mindset).,Writing Task,Reflect and write down three pre-purchase activities that involve spending money. ,2014,Journal of Consumer Research,1,0,0,4,4,1,4,1,1,1,1,2,2,1,2,0,0,0,DV not in SMD. It is in proportion. ,,,,,,,0,0.411241,0.054108,0.409002,0.053521,,,,1,46.67,46.67,93.34,38.3% (17.875/46.67),56.52% (26.378 / 46.67),,,1,,,,,-0.745908146,,,,,,,,0.178008692,,,0.411241,0.054108,0.409002,0.053521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
171,171b,"Su, L., & Gao, L. (2014). Strategy compatibility: The time versus money effect on product evaluation strategies. Journal of Consumer Psychology, 24(4), 549–556. doi:10.1016/j.jcps.2014.04.006",2b-Vacation,"Su, L., & Gao, L. (2014), Study 2b-Vacation",PsycINFO,Journal,1,1,1,1,1,Study 1 and 2a does not have neutral comparison. Only study 2b has neutral control. ,1,1,,Choice of vacation location (indicative of holistic vs analytical mindset).,Writing Task,Reflect and write down three pre-purchase activities that involve spending money. ,2014,Journal of Consumer Research,1,0,0,4,4,1,4,1,1,1,1,2,2,1,2,0,0,0,DV not in SMD. It is in proportion. ,,,,,,,0,0.605887,0.062437,0.602589,0.061759,,,,1,46.67,46.67,93.34,23.40% (10.921/46.67),47.83% (22.322 / 46.67),,,1,,,,,-1.09895778410707,,,,,,,,0.205409505129373,,,0.605887,0.062437,0.602589,0.061759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
175,175a,"Tong, L., Zheng, Y., & Zhao, P. (2013). Is money really the root of all evil? The impact of priming money on consumer choice. Marketing Letters, 24(2), 119–129. doi:10.1007/s11002-013-9224-7",1,"Tong, L., Zheng, Y., & Zhao, P. (2013), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,Relative preference for utlitarian (vs hedonic) objects,Sentence descrambling,,2013,Marketing Letters,1,0,0,2,2,1,2,1,1,1,1,2,2,1,2,0,0,0,DV in proportion.,,,,,,,0,0.711757,0.077904,0.703878,0.076189,,,,1,37,33,70,70.3% (26/37),39.4% (13/33),,,1,,,,,1.290984181,,,,,,,,0.256293706,,,0.711757,0.077904,0.703878,0.076189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
175,175b,"Tong, L., Zheng, Y., & Zhao, P. (2013). Is money really the root of all evil? The impact of priming money on consumer choice. Marketing Letters, 24(2), 119–129. doi:10.1007/s11002-013-9224-7",2,"Tong, L., Zheng, Y., & Zhao, P. (2013), Study 2",PsycINFO,Journal,1,1,1,1,1,,1,1,,Relative preference for utlitarian (vs hedonic) objects,Pictures,,2013,Marketing Letters,1,0,0,1,1,1,1,1,1,1,1,2,2,1,2,0,0,0,DV in proportion.,,,,,,,0,0.635506,0.098322,0.62647,0.095546,,,,1,28,27,55,57.1% (16/28),29.6% (8/27),,,1,,,,,1.15267951,,,,,,,,0.323464912,,,0.635506,0.098322,0.62647,0.095546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
181,181a,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006). The Psychological Consequences of Money. Science, 314(5802), 1154–1156. doi:10.1126/science.1132491",1,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,Task persistence,1st expt condition: Sentence descrambling. 2nd expt condition: playing with monopoly money.  ,,2006,Science,1,0,0,5,5,1,5,1,1,1,1,1,1,1,1,0,0,0,"Two experimental conditions (real vs. play money). Auhors made no prediction regarding the strength of the two conditions, hence they will be aggregated. ",,,,,1,Aggregated M and SD across two money conditions. ,,0.805618174465675,0.0927873680511056,0.793473176860665,0.0900108464698183,Aggregated across conditions,,0.86,1,34.67,17.33,52,309.64,186.12,167.767633648448,118.09,1,0.805618174465675,0.0927873680511056,0.793473176860665,0.0900108464698183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
181,181c,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006). The Psychological Consequences of Money. Science, 314(5802), 1154–1156. doi:10.1126/science.1132491",3,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006), Study 3",PsycINFO,Journal,1,1,1,1,1,,1,1,,Helpfulness,Sentence descrambling,,2006,Science,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,0,0.662184758571171,0.108185751980564,0.648670783906453,0.103815065623998,,,0.66,1,19.5,19.5,39,5.1,8.47,3.99,5.99,1,0.662184758571171,0.108185751980564,0.648670783906453,0.103815065623998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
181,181d,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006). The Psychological Consequences of Money. Science, 314(5802), 1154–1156. doi:10.1126/science.1132491",4,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006), Study 4",PsycINFO,Journal,1,1,1,1,1,,1,1,,Helpfulness,Sentence descrambling,,2006,Science,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,0,0.642223694581365,0.0955960372032016,0.630686741984095,0.0921922986344906,,,0.63,1,22,22,44,67.35,148.81,84.65,158.15,1,0.642223694581365,0.0955960372032016,0.630686741984095,0.0921922986344906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
181,181e,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006). The Psychological Consequences of Money. Science, 314(5802), 1154–1156. doi:10.1126/science.1132491",5,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006), Study 5",PsycINFO,Journal,1,1,1,1,1,,1,1,,No. of pencils participants help to pick up,"Monopoly play, left with high amount of money vs. low amount of money vs. no money. ",,2006,Science,1,0,0,3,3,1,3,1,1,1,1,1,1,1,1,0,0,0,"Two experimental conditions (real vs. play money). Auhors made no prediction regarding the strength of the two conditions, hence they will be aggregated. ",,,,,1,Aggregated M and SD across two control conditions (Neutral & Low money),,0.990485697047087,0.151228210849316,0.966327509314232,0.14394118819685,Aggregated across conditions,,,1,11,22,33,18,20.01,1.96,2.06149217801087,1,0.990485697047087,0.151228210849316,0.966327509314232,0.14394118819685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
181,181f,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006). The Psychological Consequences of Money. Science, 314(5802), 1154–1156. doi:10.1126/science.1132491",6,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006), Study 6",PsycINFO,Journal,1,1,1,1,1,,1,1,,Donation,Sentence descrambling,,2006,Science,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,0,0.639682698421608,0.0955590222120449,0.628191392461938,0.0921566015782265,,,0.64,1,22,22,44,0.77,1.34,0.74,1.02,1,0.639682698421608,0.0955590222120449,0.628191392461938,0.0921566015782265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
181,181g,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006). The Psychological Consequences of Money. Science, 314(5802), 1154–1156. doi:10.1126/science.1132491",7,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006), Study 7",PsycINFO,Journal,1,1,1,1,1,,1,1,,Physical distance,Pictures,,2006,Science,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,Two control conditions (Fish screen saver vs. blank screen saver). No prediction.,,,,,1,Aggregated M and SD across two control conditions. ,,0.953872246720143,0.137637114764763,0.932675085681917,0.13158787860967,Aggregated across conditions,,1.07,1,12,24,36,118.44,80.01,41.63,39.6307349162238,1,0.953872246720143,0.137637114764763,0.932675085681917,0.13158787860967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
181,181h,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006). The Psychological Consequences of Money. Science, 314(5802), 1154–1156. doi:10.1126/science.1132491",8,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006), Study 8",PsycINFO,Journal,1,1,1,1,1,,1,1,,Choice of individually focused leisure activity (vs. those for 2 or more person),Pictures,Poster on the wall,2006,Science,1,0,0,1,1,1,1,1,1,1,1,1,2,0,2,0,0,0,Two control conditions (poster showing seascape vs. flower garden)..No prediction.,,,,,1,Aggregated M and SD across two control conditions. ,,0.75244036633686,0.0784172491085149,0.742834744638942,0.0764278862112577,Aggregated across conditions,,,1,20.33,40.67,61,4,2.96,1.2,1.46273716025812,1,0.75244036633686,0.0784172491085149,0.742834744638942,0.0764278862112577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
181,181i,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006). The Psychological Consequences of Money. Science, 314(5802), 1154–1156. doi:10.1126/science.1132491",9,"Vohs, K. D., Mead, N. L., & Goode, M. R. (2006), Study 9",PsycINFO,Journal,1,1,1,1,1,,1,1,,Decision to work on a task with a peer (vs. alone),Pictures,,2006,Science,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,Two control conditions (Fish screen saver vs. blank screen saver). No prediction.,,,,,1,Aggregated proportion across two control conditions. ,,1.395222,0.235848,1.365109,0.225777,Aggregated across conditions,,,1,12.33,24.67,37,83% (10.2339 / 12.33),27.988% (6.9048/24.67),,,1,,,,,2.53065192931844,,,,,,,,0.775907546381247,,,1.395222,0.235848,1.365109,0.225777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
184,184a,"Wierzbicki, J., & Zawadzka, A. M. (2014). The effects of the activation of money and credit card vs. That of activation of spirituality – which one prompts pro-social behaviours? Current Psychology: A Journal for Diverse Perspectives on Diverse Psychological Issues. doi:10.1007/s12144-014-9299-1",1,"Wierzbicki, J., & Zawadzka, A. M. (2014), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,Willingness to donate to a student association.,Sorting banknotes,,2014,Current Psychology,1,0,0,3,3,1,3,1,1,1,1,1,1,1,1,0,0,0,"Results in the form of regression. Also, two experimental conditions (cash and credit card) without prediction. Hence, need to aggregate. ",,,,,1,"Aggregated M, SDs, n for both money conditions. M, SDs, n for neutral condition. ",,0.433129870695499,0.0513364268020472,0.429385232043953,0.0504526023972216,,Amount of money donated,,,59,30,89,9.83,16,13.58,15.49,1,0.433129870695499,0.0513364268020472,0.429385232043953,0.0504526023972216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
184,184b,"Wierzbicki, J., & Zawadzka, A. M. (2014). The effects of the activation of money and credit card vs. That of activation of spirituality – which one prompts pro-social behaviours? Current Psychology: A Journal for Diverse Perspectives on Diverse Psychological Issues. doi:10.1007/s12144-014-9299-1",2,"Wierzbicki, J., & Zawadzka, A. M. (2014), Study 2",PsycINFO,Journal,1,1,1,1,1,,1,1,,Amount of time willing to devote to help others,Sentence descrambling,,2014,Current Psychology,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,0,Two experimental conditions (Credit card & Cash). ,,,,,1,Aggregated M and SD across two money conditions. M and SD for neutral condition.,,0.33594518612202,0.0400088438588025,0.333823427051776,0.0395050649096485,,Time devoted to help,,,85,36,121,0.24,0.72,1.31,1.68,1,0.33594518612202,0.0400088438588025,0.333823427051776,0.0395050649096485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
194,194,"Zaleskiewicz, T., Gasiorowska, A., & Kesebir, P. (2013). Saving can save from death anxiety: Mortality salience and financial decision-making. PLoS ONE, 8(11). Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-01739-001&site=ehost-live",1,"Zaleskiewicz, T., Gasiorowska, A., & Kesebir, P. (2013), Study 1",PsycINFO,Journal,1,1,1,1,1,"Note: In study 1, there are two money priming condition. One on money saving, one on money spending. ",1,1,,DV1: Fear of death. (DV2: Fear of dentist. But they expected no effect for this DV),Writing Task,Imagine getting money and spending/saving it. Then write down 5 positive outcomes. ,2013,Plos One,1,0,0,4,4,1,4,1,1,1,1,2,2,1,2,0,1,0,Two experimental conditions (Spending money vs. saving money). They hypothesized larger effect in 'saving' condition.,,,,,,,0,1.05460834770379,0.0569512422940407,1.04443527682562,0.0558578038790116,,DV=Fear of death. Saving money vs. control.,0.53 (error?),1,40,40,80,4.64,7.08,1.96,2.62,1,1.05460834770379,0.0569512422940407,1.04443527682562,0.0558578038790116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
